ID;Accepted_species;Accepted_family;Genus_matched;Accepted_name_author;Accepted_name_url;life_form_Cardoso_et_al_2017;Bolivia;Brazil;Colombia;Ecuador;French_Guiana;Guyana;Herrero_Jauregui_et_al_2013;Peru;Piponiot_et_al_2019;Suriname;Venezuela;number_individuals_ATDN_plots;number_plots_ATDN_plots;estimated_ind_Amazon;log10_est_ind_Amazon;check_hyperdominant_spp;Forest_type_IV_max_hyperdominant;IV.indcls_hyperdominant;check ITTO_commercial_spp;check ITTO_LUS_spp;redlistCategory_IUCN_2022;yearPublished_IUCN_2022;Original_AOO_2050_IGS;Original_AOO_2050_BAU;2050_RCP_2.6;2050_RCP 8.5;2050_RCP 2.6_2050_IGS;2050_RCP 2.6_2050_BAU;2050_RCP 8.5_2050_IGS;2050_RCP_8.5_2050_BAU;Sub_region_AOO;check_CITES;appendix_CITES
1;Abarema jupunba;Fabaceae;Abarema;(Willd.) Britton & Killip;http://www.tropicos.org/Name/13000004;tree;NA;NA;1;NA;NA;1;1;NA;1;1;NA;884;381;292552043;8;1;3;0.05;NA;NA;Least Concern;2019;VU;VU;NA;NA;VU;VU;VU;VU;GS;NA;NA
2;Agonandra brasiliensis;Opiliaceae;Agonandra;Miers ex Benth. & Hook. f.;http://www.tropicos.org/Name/23400002;tree;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;326;130;109178199;8;NA;NA;0;NA;NA;Least Concern;2020;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
3;Agonandra silvatica;Opiliaceae;Agonandra;Ducke;http://www.tropicos.org/Name/23400013;tree;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;152;97;57766156;8;NA;NA;0;NA;NA;Least Concern;2020;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
4;Aiouea montana;Lauraceae;Aiouea;(Sw.) R. Rohde;http://www.tropicos.org/Name/100469825;tree;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;10;9;1418468;6;NA;NA;0;NA;NA;Least Concern;2020;NA;VU;CR;CR;CR;CR;CR;CR;CA;NA;NA
5;Albizia niopoides;Fabaceae;Albizia;(Spruce ex Benth.) Burkart;http://www.tropicos.org/Name/13007716;tree;1;NA;NA;NA;NA;NA;1;1;1;NA;1;37;16;12077155;7;NA;NA;0;NA;NA;Least Concern;2019;VU;VU;CR;CR;CR;CR;CR;CR;GS;NA;NA
6;Albizia subdimidiata;Fabaceae;Albizia;(Splitg.) Barneby & J.W. Grimes;http://www.tropicos.org/Name/13074797;tree;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;45;15;21261716;7;NA;NA;0;NA;NA;Least Concern;2020;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
7;Alchornea discolor;Euphorbiaceae;Alchornea;Poepp.;http://www.tropicos.org/Name/12800688;shrub/ tree;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;706;155;312218167;8;NA;NA;0;NA;NA;Least Concern;2020;VU;VU;VU;VU;VU;EN;VU;EN;GS;NA;NA
8;Alchornea glandulosa;Euphorbiaceae;Alchornea;Poepp.;http://www.tropicos.org/Name/12800689;tree;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;144;50;44796751;8;NA;NA;0;NA;NA;Least Concern;2019;NA;NA;VU;VU;VU;VU;EN;EN;WAN;NA;NA
9;Alchornea triplinervia;Euphorbiaceae;Alchornea;(Spreng.) M<fc>ll. Arg.;http://www.tropicos.org/Name/12800700;shrub/ tree;NA;NA;NA;NA;NA;NA;NA;NA;1;1;NA;457;97;225566866;8;NA;NA;0;NA;1;Least Concern;2019;NA;NA;VU;VU;VU;VU;VU;VU;WAN;NA;NA
10;Alchorneopsis floribunda;Euphorbiaceae;Alchorneopsis;(Benth.) M<fc>ll. Arg.;http://www.tropicos.org/Name/12800705;tree;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;364;165;137910687;8;NA;NA;0;NA;NA;Least Concern;2021;NA;VU;VU;VU;VU;VU;VU;VU;CA;NA;NA
11;Alexa grandiflora;Fabaceae;Alexa;Ducke;http://www.tropicos.org/Name/13015568;tree;NA;1;NA;NA;NA;NA;NA;NA;1;NA;NA;664;103;293952855;8;NA;NA;0;NA;NA;NA;NA;VU;EN;EN;EN;CR;CR;CR;CR;GS;NA;NA
12;Alexa imperatricis;Fabaceae;Alexa;(R.H. Schomb.) Baill.;http://www.tropicos.org/Name/13048944;tree;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;1;1564;38;418358227;9;NA;NA;0;NA;NA;NA;NA;NA;VU;EN;EN;EN;EN;EN;EN;GS;NA;NA
13;Alexa wachenheimii;Fabaceae;Alexa;Benoist;http://www.tropicos.org/Name/13015571;tree;NA;NA;NA;NA;NA;NA;NA;NA;1;1;NA;26;8;2354669;6;NA;NA;0;NA;NA;Least Concern;2012;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
14;Allantoma decandra;Lecythidaceae;Allantoma;(Ducke) S.A. Mori. Ya Y.Huang & Prance;http://www.tropicos.org/Name/100143564;tree;NA;1;NA;NA;NA;NA;NA;1;NA;NA;NA;495;160;160845746;8;NA;NA;0;NA;NA;NA;NA;NA;VU;VU;VU;VU;VU;VU;VU;WAN;NA;NA
15;Allantoma lineata;Lecythidaceae;Allantoma;(Mart. & O. Berg) Miers;http://www.tropicos.org/Name/17900367;tree;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;398;54;70136336;8;NA;NA;0;NA;NA;NA;NA;VU;VU;VU;EN;EN;EN;EN;CR;GS;NA;NA
16;Allantoma pluriflora;Lecythidaceae;Allantoma;(Ducke) S.A. Mori. Ya.Y. Huang & Prance;http://www.tropicos.org/Name/100143570;tree;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;40;21;19849955;7;NA;NA;0;NA;NA;NA;NA;NA;NA;VU;EN;VU;VU;EN;EN;WAN;NA;NA
17;Alseis peruviana;Rubiaceae;Alseis;Standl.;http://www.tropicos.org/Name/27900303;tree;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;40;5;38036813;8;NA;NA;0;NA;NA;NA;NA;NA;VU;NA;NA;NA;VU;NA;VU;WAN;NA;NA
18;Amaioua guianensis;Rubiaceae;Amaioua;Aubl.;http://www.tropicos.org/Name/27904166;shrub/ tree;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;1698;246;597122813;9;1;4;0.14;NA;NA;Least Concern;2020;VU;VU;VU;VU;VU;EN;VU;EN;SA;NA;NA
19;Amanoa guianensis;Phyllanthaceae;Amanoa;Aubl.;http://www.tropicos.org/Name/12802526;shrub/ tree;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;472;53;123992219;8;NA;NA;0;NA;NA;Least Concern;2019;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
20;Ambelania acida;Apocynaceae;Ambelania;Aubl.;http://www.tropicos.org/Name/1800680;tree;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;614;235;116203873;8;NA;NA;0;NA;NA;Least Concern;2020;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
21;Ambelania occidentalis;Apocynaceae;Ambelania;Zarucchi;http://www.tropicos.org/Name/1805467;tree;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;4;3;2088804;6;NA;NA;0;NA;NA;NA;NA;NA;NA;VU;EN;VU;VU;EN;EN;WAN;NA;NA
